scenario,layer,iter_in_layer,global_iter,energy
Real Hardware,0,0,0,0.07417557450663195
Real Hardware,0,1,1,0.0778537478190928
Real Hardware,0,2,2,0.07698984356918925
Real Hardware,0,3,3,0.07205673920881385
Real Hardware,0,4,4,0.08081847146691742
Real Hardware,0,5,5,0.07621221706653589
Real Hardware,0,6,6,0.06739393289026299
Real Hardware,0,7,7,0.06887454787064692
Real Hardware,0,8,8,0.06852582703603977
Real Hardware,0,9,9,0.06279605455845311
Real Hardware,0,10,10,0.0537038891224037
Real Hardware,0,11,11,0.04135421741956091
Real Hardware,0,12,12,0.016219131199751498
Real Hardware,0,13,13,0.07513584534789171
Real Hardware,0,14,14,0.015551571863790338
Real Hardware,0,15,15,-0.02740359939832184
Real Hardware,0,16,16,-0.08503788679386395
Real Hardware,0,17,17,-0.11910187251984138
Real Hardware,0,18,18,-0.05701707766439922
Real Hardware,0,19,19,-0.14055856717687087
Real Hardware,1,0,20,-0.11271435657596383
Real Hardware,1,1,21,-0.1045719068877552
Real Hardware,1,2,22,-0.06492147640306134
Real Hardware,1,3,23,-0.12123325892857152
Real Hardware,1,4,24,-0.06962602749433118
Real Hardware,1,5,25,-0.09924953054138333
Real Hardware,1,6,26,-0.10951450892857155
Real Hardware,1,7,27,-0.06820104343820872
Real Hardware,1,8,28,-0.09181459041950127
Real Hardware,1,9,29,-0.17082093253968264
Real Hardware,1,10,30,-0.10870181405895704
Real Hardware,1,11,31,-0.13987873795351488
Real Hardware,1,12,32,-0.23167893459467132
Real Hardware,1,13,33,-0.20389008467970535
Real Hardware,1,14,34,-0.24402990362811805
Real Hardware,1,15,35,-0.1836225375566895
Real Hardware,1,16,36,-0.2049264367205216
Real Hardware,1,17,37,-0.19317668473639468
Real Hardware,1,18,38,-0.2034073394982994
Real Hardware,1,19,39,-0.24222957412131532
Real Hardware,1,20,40,-0.1901329542233561
Real Hardware,1,21,41,-0.21033296130952392
Real Hardware,1,22,42,-0.17125274589002276
Real Hardware,1,23,43,-0.20325454400510212
Real Hardware,1,24,44,-0.22443000637755114
Real Hardware,1,25,45,-0.21967673788265316
Real Hardware,1,26,46,-0.22088692247732433
Real Hardware,1,27,47,-0.1920572916666668
Real Hardware,1,28,48,-0.2089378720238097
Real Hardware,1,29,49,-0.2644989636479593
Real Hardware,1,30,50,-0.18989822491496608
Real Hardware,1,31,51,-0.22665993480725635
Real Hardware,1,32,52,-0.2575179811507938
Real Hardware,1,33,53,-0.20382697349773257
Real Hardware,1,34,54,-0.21674594316893434
Real Hardware,1,35,55,-0.20006798292233577
Real Hardware,1,36,56,-0.20563837514172345
Real Hardware,1,37,57,-0.20732798327664406
Real Hardware,1,38,58,-0.22817571038832213
Real Hardware,1,39,59,-0.1986928234835602
Real Hardware,1,40,60,-0.23595277954931987
Real Hardware,1,41,61,-0.2505657862103176
Real Hardware,1,42,62,-0.2400461486678006
Real Hardware,1,43,63,-0.24328031994047628
Real Hardware,1,44,64,-0.19627134708049898
Real Hardware,1,45,65,-0.22160218253968267
Real Hardware,1,46,66,-0.2414766687925171
Real Hardware,1,47,67,-0.2847886550453517
Real Hardware,2,0,68,-0.2466130332341271
Real Hardware,2,1,69,-0.2096376310941044
Real Hardware,2,2,70,-0.23284815228174613
Real Hardware,2,3,71,-0.19365610827664406
Real Hardware,2,4,72,-0.2788152370323131
Real Hardware,2,5,73,-0.236322588931406
Real Hardware,2,6,74,-0.24723639455782326
Real Hardware,2,7,75,-0.2510894982993198
Real Hardware,2,8,76,-0.26060821464002276
Real Hardware,2,9,77,-0.23374167375283456
Real Hardware,2,10,78,-0.2008563190901362
Real Hardware,2,11,79,-0.20328997484410438
Real Hardware,2,12,80,-0.22242484233276658
Real Hardware,2,13,81,-0.2773991106859412
Real Hardware,2,14,82,-0.2380443062641724
Real Hardware,2,15,83,-0.2326134229733562
Real Hardware,2,16,84,-0.21179559063208628
Real Hardware,2,17,85,-0.22415763180272122
Real Hardware,2,18,86,-0.24998671343537424
Real Hardware,2,19,87,-0.23513344139739245
Real Hardware,2,20,88,-0.21325932716836743
Real Hardware,2,21,89,-0.24056875354308405
Real Hardware,2,22,90,-0.24205463435374167
Real Hardware,2,23,91,-0.23191255668934252
Real Hardware,2,24,92,-0.21861824156746051
Real Hardware,2,25,93,-0.24586234233276655
Real Hardware,2,26,94,-0.25724782100340143
Real Hardware,2,27,95,-0.2426658163265307
Real Hardware,2,28,96,-0.26606013499149667
Real Hardware,2,29,97,-0.22792215844671213
Real Hardware,2,30,98,-0.20294673859126997
Real Hardware,2,31,99,-0.22399265695861686
Real Hardware,2,32,100,-0.23958886940192758
Real Hardware,2,33,101,-0.22009526466836743
Real Hardware,2,34,102,-0.22470680980725632
Real Hardware,2,35,103,-0.22709396258503417
Real Hardware,2,36,104,-0.2526185604450114
Real Hardware,2,37,105,-0.25963054492630394
Real Hardware,2,38,106,-0.23758924142573706
Real Hardware,2,39,107,-0.23380810657596376
Real Hardware,2,40,108,-0.24639712655895704
Real Hardware,2,41,109,-0.21370996315192756
Real Hardware,2,42,110,-0.264352811437075
Real Hardware,2,43,111,-0.2598885257227892
Real Hardware,2,44,112,-0.2342000602324264
Real Hardware,2,45,113,-0.2675061561082767
Real Hardware,2,46,114,-0.22792326566043095
Real Hardware,2,47,115,-0.19603883219954663
Real Hardware,2,48,116,-0.22220782844387765
Real Hardware,2,49,117,-0.26707102111678016
Real Hardware,2,50,118,-0.25394168083900237
Real Hardware,2,51,119,-0.22288433602607727
Real Hardware,2,52,120,-0.220802774234694
Real Hardware,2,53,121,-0.21217315051020413
Real Hardware,2,54,122,-0.2637360933956917
Real Hardware,2,55,123,-0.23616093572845814
Real Hardware,2,56,124,-0.20053190547052166
Real Hardware,2,57,125,-0.23953240150226768
Real Hardware,2,58,126,-0.23903636975623596
Real Hardware,2,59,127,-0.2399498210742631
Real Hardware,2,60,128,-0.22137188208616793
Real Hardware,2,61,129,-0.24685772746598653
Real Hardware,2,62,130,-0.25441778273809534
Real Hardware,2,63,131,-0.24092970521541957
Real Hardware,2,64,132,-0.2708366549744899
Real Hardware,2,65,133,-0.22310910041099782
Real Hardware,2,66,134,-0.19529810622165542
Real Hardware,2,67,135,-0.22766417765022687
Real Hardware,2,68,136,-0.246780222505669
Real Hardware,2,69,137,-0.2228511196145126
Real Hardware,2,70,138,-0.2304277830924037
Real Hardware,2,71,139,-0.23842186614229027
Real Hardware,2,72,140,-0.23481013499149672
Real Hardware,2,73,141,-0.24111239547902502
Real Hardware,2,74,142,-0.23076326884920645
Real Hardware,2,75,143,-0.23928106398809534
